"","V1","V2","V3"
"V355","0.3540000","0.3220191","0.3738978"
"V356","0.3550000","0.3210447","0.3729803"
"V357","0.3560000","0.3200189","0.3718698"
"V358","0.3570000","0.3189146","0.3705595"
"V359","0.3580000","0.3177072","0.3690548"
"V360","0.3590000","0.3163737","0.3673734"
"V361","0.3600000","0.3148938","0.3655451"
"V362","0.3610000","0.3132490","0.3636116"
"V363","0.3620000","0.3114320","0.3616092"
"V364","0.3630000","0.3094693","0.3595840"
"V365","0.3640000","0.3073959","0.3575836"
"V366","0.3650000","0.3052495","0.3556460"
"V367","0.3660000","0.3030703","0.3537999"
"V368","0.3670000","0.3009009","0.3520642"
"V369","0.3680000","0.2987863","0.3504486"
"V370","0.3690000","0.2967742","0.3489533"
"V371","0.3700000","0.2949146","0.3475687"
"V372","0.3710000","0.2932600","0.3462761"
"V373","0.3720000","0.2918553","0.3450543"
"V374","0.3730000","0.2907140","0.3438726"
"V375","0.3740000","0.2898391","0.3426897"
"V376","0.3750000","0.2892247","0.3414706"
"V377","0.3760000","0.2888560","0.3401873"
"V378","0.3770000","0.2887089","0.3388179"
"V379","0.3780000","0.2887507","0.3373473"
"V380","0.3790000","0.2889393","0.3357669"
"V381","0.3800000","0.2892238","0.3340747"
"V382","0.3810000","0.2895445","0.3322751"
"V383","0.3820000","0.2898391","0.3303774"
"V384","0.3830000","0.2900667","0.3284002"
"V385","0.3840000","0.2901853","0.3263770"
"V386","0.3850000","0.2901617","0.3243386"
"V387","0.3860000","0.2899723","0.3223127"
"V388","0.3870000","0.2896032","0.3203235"
"V389","0.3880000","0.2890506","0.3183918"
"V390","0.3890000","0.2883202","0.3165352"
"V391","0.3900000","0.2874277","0.3147679"
"V392","0.3910000","0.2863983","0.3131008"
"V393","0.3920000","0.2852653","0.3115417"
"V394","0.3930000","0.2840566","0.3100919"
"V395","0.3940000","0.2828107","0.3087415"
"V396","0.3950000","0.2815644","0.3074811"
"V397","0.3960000","0.2803496","0.3063031"
"V398","0.3970000","0.2791932","0.3052013"
"V399","0.3980000","0.2781170","0.3041718"
"V400","0.3990000","0.2771378","0.3032120"
"V401","0.4000000","0.2762673","0.3023212"
"V402","0.4010000","0.2755123","0.3015006"
"V403","0.4020000","0.2748747","0.3007527"
"V404","0.4030000","0.2743528","0.3000797"
"V405","0.4040000","0.2739352","0.2994877"
"V406","0.4050000","0.2736070","0.2989812"
"V407","0.4060000","0.2733526","0.2985601"
"V408","0.4070000","0.2731559","0.2982199"
"V409","0.4080000","0.2730000","0.2979516"
"V410","0.4090000","0.2728674","0.2977417"
"V411","0.4100000","0.2727398","0.2975722"
"V412","0.4110000","0.2725985","0.2974209"
"V413","0.4120000","0.2724239","0.2972608"
"V414","0.4130000","0.2721994","0.2970665"
"V415","0.4140000","0.2719131","0.2968107"
"V416","0.4150000","0.2715535","0.2964627"
"V417","0.4160000","0.2711124","0.2959985"
"V418","0.4170000","0.2705849","0.2954010"
"V419","0.4180000","0.2699693","0.2946598"
"V420","0.4190000","0.2692674","0.2937711"
"V421","0.4200000","0.2684841","0.2927378"
"V422","0.4210000","0.2676277","0.2915695"
"V423","0.4220000","0.2667096","0.2902826"
"V424","0.4230000","0.2657422","0.2888965"
"V425","0.4240000","0.2647384","0.2874330"
"V426","0.4250000","0.2637176","0.2859236"
"V427","0.4260000","0.2626964","0.2843943"
"V428","0.4270000","0.2616875","0.2828649"
"V429","0.4280000","0.2606998","0.2813486"
"V430","0.4290000","0.2597388","0.2798528"
"V431","0.4300000","0.2588062","0.2783782"
"V432","0.4310000","0.2578999","0.2769194"
"V433","0.4320000","0.2570142","0.2754650"
"V434","0.4330000","0.2561410","0.2739986"
"V435","0.4340000","0.2552697","0.2725049"
"V436","0.4350000","0.2543741","0.2709547"
"V437","0.4360000","0.2534303","0.2693230"
"V438","0.4370000","0.2524190","0.2675921"
"V439","0.4380000","0.2513253","0.2657511"
"V440","0.4390000","0.2501391","0.2637964"
"V441","0.4400000","0.2488547","0.2617313"
"V442","0.4410000","0.2474710","0.2595663"
"V443","0.4420000","0.2459915","0.2573186"
"V444","0.4430000","0.2444237","0.2550125"
"V445","0.4440000","0.2427788","0.2526709"
"V446","0.4450000","0.2410928","0.2503355"
"V447","0.4460000","0.2394048","0.2480477"
"V448","0.4470000","0.2377497","0.2458412"
"V449","0.4480000","0.2361578","0.2437419"
"V450","0.4490000","0.2346553","0.2417676"
"V451","0.4500000","0.2332638","0.2399284"
"V452","0.4510000","0.2320006","0.2382265"
"V453","0.4520000","0.2308789","0.2366565"
"V454","0.4530000","0.2299074","0.2352049"
"V455","0.4540000","0.2290899","0.2338565"
"V456","0.4550000","0.2283998","0.2325774"
"V457","0.4560000","0.2277965","0.2313238"
"V458","0.4570000","0.2272412","0.2300586"
"V459","0.4580000","0.2266963","0.2287509"
"V460","0.4590000","0.2261263","0.2273767"
"V461","0.4600000","0.2254967","0.2259180"
"V462","0.4610000","0.2247749","0.2243636"
"V463","0.4620000","0.2239299","0.2227088"
"V464","0.4630000","0.2229319","0.2209551"
"V465","0.4640000","0.2217551","0.2191083"
"V466","0.4650000","0.2204052","0.2171910"
"V467","0.4660000","0.2189109","0.2152452"
"V468","0.4670000","0.2173033","0.2133085"
"V469","0.4680000","0.2156160","0.2114129"
"V470","0.4690000","0.2138843","0.2095853"
"V471","0.4700000","0.2121460","0.2078474"
"V472","0.4710000","0.2104408","0.2062154"
"V473","0.4720000","0.2088106","0.2047004"
"V474","0.4730000","0.2072994","0.2033081"
"V475","0.4740000","0.2059519","0.2020399"
"V476","0.4750000","0.2047861","0.2008846"
"V477","0.4760000","0.2037933","0.1998056"
"V478","0.4770000","0.2029586","0.1987662"
"V479","0.4780000","0.2022615","0.1977332"
"V480","0.4790000","0.2016755","0.1966769"
"V481","0.4800000","0.2011684","0.1955705"
"V482","0.4810000","0.2007022","0.1943906"
"V483","0.4820000","0.2002333","0.1931174"
"V484","0.4830000","0.1997124","0.1917339"
"V485","0.4840000","0.1990845","0.1902265"
"V486","0.4850000","0.1983116","0.1885920"
