"","V1","V2","V3"
"V134"," 0.133000","-1.030160","-0.934478"
"V135"," 0.1340000","-1.0303355","-0.9338817"
"V136"," 0.1350000","-1.0305091","-0.9332948"
"V137"," 0.1360000","-1.0306809","-0.9327175"
"V138"," 0.1370000","-1.0308507","-0.9321499"
"V139"," 0.1380000","-1.0310186","-0.9315924"
"V140"," 0.1390000","-1.0311844","-0.9310451"
"V141"," 0.140000","-1.031348","-0.930508"
"V142"," 0.1410000","-1.0315098","-0.9299815"
"V143"," 0.1420000","-1.0316693","-0.9294656"
"V144"," 0.1430000","-1.0318265","-0.9289605"
"V145"," 0.1440000","-1.0319815","-0.9284663"
"V146"," 0.1450000","-1.0321341","-0.9279832"
"V147"," 0.1460000","-1.0322843","-0.9275113"
"V148"," 0.1470000","-1.0324321","-0.9270508"
"V149"," 0.1480000","-1.0325774","-0.9266017"
"V150"," 0.1490000","-1.0327202","-0.9261641"
"V151"," 0.1500000","-1.0328605","-0.9257383"
"V152"," 0.1510000","-1.0329981","-0.9253242"
"V153"," 0.152000","-1.033133","-0.924922"
"V154"," 0.1530000","-1.0332652","-0.9245318"
"V155"," 0.1540000","-1.0333946","-0.9241536"
"V156"," 0.1550000","-1.0335213","-0.9237875"
"V157"," 0.1560000","-1.0336451","-0.9234337"
"V158"," 0.1570000","-1.0337659","-0.9230921"
"V159"," 0.1580000","-1.0338839","-0.9227628"
"V160"," 0.1590000","-1.0339989","-0.9224459"
"V161"," 0.1600000","-1.0341108","-0.9221414"
"V162"," 0.1610000","-1.0342197","-0.9218494"
"V163"," 0.1620000","-1.0343254","-0.9215699"
"V164"," 0.1630000","-1.0344280","-0.9213029"
"V165"," 0.1640000","-1.0345275","-0.9210485"
"V166"," 0.1650000","-1.0346237","-0.9208066"
"V167"," 0.1660000","-1.0347166","-0.9205774"
"V168"," 0.1670000","-1.0348062","-0.9203607"
"V169"," 0.1680000","-1.0348925","-0.9201566"
"V170"," 0.169000","-1.034975","-0.919965"
"V171"," 0.1700000","-1.0350549","-0.9197859"
"V172"," 0.1710000","-1.0351310","-0.9196193"
"V173"," 0.1720000","-1.0352036","-0.9194652"
"V174"," 0.1730000","-1.0352727","-0.9193234"
"V175"," 0.174000","-1.035338","-0.919194"
"V176"," 0.1750000","-1.0354003","-0.9190768"
"V177"," 0.1760000","-1.0354588","-0.9189717"
"V178"," 0.1770000","-1.0355137","-0.9188788"
"V179"," 0.1780000","-1.0355650","-0.9187979"
"V180"," 0.179000","-1.035613","-0.918729"
"V181"," 0.1800000","-1.0356565","-0.9186718"
"V182"," 0.1810000","-1.0356967","-0.9186263"
"V183"," 0.1820000","-1.0357332","-0.9185925"
