"","V1","V2","V3"
"V548","0.5470000","0.2015456","1.3430322"
"V549","0.5480000","0.2020495","1.3382766"
"V550","0.5490000","0.2025848","1.3334924"
"V551","0.5500000","0.2031511","1.3286810"
"V552","0.551000","0.203748","1.323844"
"V553","0.5520000","0.2043748","1.3189832"
"V554","0.5530000","0.2050313","1.3141000"
"V555","0.5540000","0.2057169","1.3091959"
"V556","0.555000","0.206431","1.304273"
"V557","0.5560000","0.2071733","1.2993314"
"V558","0.5570000","0.2079432","1.2943740"
"V559","0.5580000","0.2087401","1.2894019"
"V560","0.5590000","0.2095636","1.2844166"
"V561","0.5600000","0.2104131","1.2794195"
"V562","0.5610000","0.2112881","1.2744122"
"V563","0.5620000","0.2121879","1.2693961"
"V564","0.5630000","0.2131121","1.2643727"
"V565","0.564000","0.214060","1.259343"
"V566","0.5650000","0.2150311","1.2543096"
"V567","0.5660000","0.2160247","1.2492729"
"V568","0.5670000","0.2170403","1.2442346"
"V569","0.5680000","0.2180772","1.2391960"
"V570","0.5690000","0.2191348","1.2341587"
"V571","0.5700000","0.2202125","1.2291240"
"V572","0.5710000","0.2213096","1.2240933"
"V573","0.5720000","0.2224254","1.2190679"
"V574","0.5730000","0.2235594","1.2140492"
"V575","0.5740000","0.2247108","1.2090386"
"V576","0.575000","0.225879","1.204037"
"V577","0.5760000","0.2270633","1.1990468"
"V578","0.5770000","0.2282629","1.1940683"
"V579","0.5780000","0.2294771","1.1891031"
"V580","0.5790000","0.2307053","1.1841526"
"V581","0.5800000","0.2319468","1.1792176"
"V582","0.5810000","0.2332012","1.1742990"
"V583","0.5820000","0.2344677","1.1693976"
"V584","0.5830000","0.2357456","1.1645147"
"V585","0.5840000","0.2370341","1.1596513"
"V586","0.5850000","0.2383326","1.1548083"
"V587","0.5860000","0.2396402","1.1499866"
"V588","0.5870000","0.2409564","1.1451873"
"V589","0.5880000","0.2422803","1.1404112"
"V590","0.5890000","0.2436113","1.1356592"
"V591","0.5900000","0.2449486","1.1309320"
"V592","0.5910000","0.2462915","1.1262304"
"V593","0.5920000","0.2476393","1.1215552"
"V594","0.5930000","0.2489914","1.1169072"
"V595","0.594000","0.250347","1.112287"
"V596","0.5950000","0.2517054","1.1076950"
"V597","0.596000","0.253066","1.103132"
"V598","0.597000","0.254428","1.098599"
"V599","0.5980000","0.2557908","1.0940957"
"V600","0.5990000","0.2571537","1.0896232"
"V601","0.600000","0.258516","1.085182"
"V602","0.6010000","0.2598771","1.0807718"
"V603","0.6020000","0.2612362","1.0763938"
"V604","0.6030000","0.2625927","1.0720480"
"V605","0.604000","0.263946","1.067735"
"V606","0.6050000","0.2652954","1.0634547"
"V607","0.6060000","0.2666402","1.0592076"
"V608","0.6070000","0.2679797","1.0549939"
"V609","0.6080000","0.2693134","1.0508137"
"V610","0.6090000","0.2706406","1.0466673"
"V611","0.6100000","0.2719607","1.0425547"
"V612","0.6110000","0.2732729","1.0384761"
"V613","0.6120000","0.2745767","1.0344315"
"V614","0.6130000","0.2758715","1.0304209"
