"","V1","V2","V3"
"V388"," 0.3870000","-0.6446344","-0.6071892"
"V389"," 0.3880000","-0.6452042","-0.6080733"
"V390"," 0.3890000","-0.6457755","-0.6089702"
"V391"," 0.3900000","-0.6463481","-0.6098796"
"V392"," 0.3910000","-0.6469218","-0.6108014"
"V393"," 0.3920000","-0.6474965","-0.6117353"
"V394"," 0.393000","-0.648072","-0.612681"
"V395"," 0.3940000","-0.6486482","-0.6136383"
"V396"," 0.3950000","-0.6492249","-0.6146068"
"V397"," 0.3960000","-0.6498019","-0.6155862"
"V398"," 0.3970000","-0.6503791","-0.6165763"
"V399"," 0.3980000","-0.6509564","-0.6175767"
"V400"," 0.3990000","-0.6515334","-0.6185871"
"V401"," 0.4000000","-0.6521102","-0.6196071"
"V402"," 0.4010000","-0.6526865","-0.6206363"
"V403"," 0.4020000","-0.6532621","-0.6216744"
"V404"," 0.4030000","-0.6538369","-0.6227209"
"V405"," 0.4040000","-0.6544107","-0.6237755"
"V406"," 0.4050000","-0.6549834","-0.6248377"
"V407"," 0.4060000","-0.6555548","-0.6259071"
"V408"," 0.4070000","-0.6561247","-0.6269832"
"V409"," 0.4080000","-0.6566930","-0.6280656"
"V410"," 0.4090000","-0.6572594","-0.6291538"
"V411"," 0.4100000","-0.6578239","-0.6302474"
"V412"," 0.4110000","-0.6583862","-0.6313457"
"V413"," 0.4120000","-0.6589462","-0.6324484"
"V414"," 0.4130000","-0.6595037","-0.6335549"
"V415"," 0.4140000","-0.6600588","-0.6346652"
"V416"," 0.4150000","-0.6606112","-0.6357786"
"V417"," 0.4160000","-0.6611608","-0.6368944"
"V418"," 0.4170000","-0.6617075","-0.6380120"
"V419"," 0.4180000","-0.6622510","-0.6391308"
"V420"," 0.4190000","-0.6627913","-0.6402502"
"V421"," 0.4200000","-0.6633283","-0.6413694"
"V422"," 0.4210000","-0.6638617","-0.6424880"
"V423"," 0.4220000","-0.6643914","-0.6436053"
"V424"," 0.4230000","-0.6649174","-0.6447205"
"V425"," 0.4240000","-0.6654394","-0.6458332"
"V426"," 0.4250000","-0.6659575","-0.6469425"
"V427"," 0.4260000","-0.6664714","-0.6480480"
"V428"," 0.427000","-0.666981","-0.649149"
"V429"," 0.4280000","-0.6674864","-0.6502448"
"V430"," 0.4290000","-0.6679873","-0.6513348"
"V431"," 0.4300000","-0.6684836","-0.6524184"
"V432"," 0.4310000","-0.6689754","-0.6534948"
"V433"," 0.4320000","-0.6694624","-0.6545636"
"V434"," 0.4330000","-0.6699447","-0.6556239"
